Title,Speaker,Speech
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Mr. Durbin,"The hearing will come to order. Today the Senate is holding its first oversight hearing of the Federal Bureau of Investigation. The first since July of 2019. This is also FBI director Wray’s, first appearance on Capitol Hill since the January 6th insurrection. Director Wray, welcome back. At the outset, I want to extend my condolences for the loss of FBI special agents, Daniel Alfin, and Laura Schwartzenberger, who were killed last month in the line of duty in South Florida. Tomorrow mark’s the eight weeks that have passed since an armed mob stormed the US capital. Incited, I’m sorry to say, by the president Trump administration and determined to subvert our democracy by disrupting the Electoral College count. As Senate minority leader, Mitch McConnell said, quote, “there is no question, none, that president Trump is practically and morally responsible for provoking the event of that day.”"
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Mr. Durbin,"While these efforts to overturn a free and fair election were ultimately unsuccessful, the trauma of that tragic harrowing day lingers on. This timeless symbol of our democracy still bears the scars of that attack. The attack caused the senseless deaths of Capitol police officers, Brian Sicknick, and Howard Liebengood, and DC police officer, Jeffrey Smith. Countless police officers, staff, journalists, and members of Congress, remain haunted by the sights and sounds of that day. The neo-Nazis symbols and Confederate flags paraded through the hallowed halls of the United States Capitol, a noose and gallows constructed on the grounds outside the Capitol, the sinister shouts of, “Hang Mike Pence and where’s Nancy,” the extremists carrying zip ties and clad in tactical gear."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Mr. Durbin,"Worst of all, the violent assaults on the US Capitol police and DC metropolitan police department officers, who bravely sought to protect us from the siege. And the FBI has warned us that the insurrection could be a quote, “significant driver of violence,” end quote, in the future, along with quote, “the shared false narrative of a stolen election,” close quote. So we must not forget the horrors of January 6th, or allow revisionists to rewrite what happened that day. I’d like to turn to a video to demonstrate the scale of the violence and the hate that we witnessed."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Speaker 1,"USA, USA, USA."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Harry Dunn,"It’s this cloud of smoke, broken flag poles, everything in the rotunda, just laying there on the floor. We’re told to get helmets, riot helmets. You just see a sea of people. And then you look down and you see officers fighting with these people, pepper spray, smoke grenades, gas grenades."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Speaker 2,I see speaker Pelosi being evacuated. And I hear them tell her the Capitol’s been breached.
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Speaker 3,"The staff went under the table, barricaded the door, turned out the lights and were silent in the dark for two and a half hours."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Speaker 4,Not knowing how long you were going to have to be there. Not knowing when you could come out. Not knowing if you were going to come out.
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Harry Dunn,"We fought with these people who were prepared for a fight. They had on gas masks. They had on body armor. They had on tactical gear. Bulletproof vests. They were ready to go. There were so many calls on the radio, “Priority. Help, help. Somebody’s trapped. We need help. Shots fired.”"
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Speaker 5,"This is when officer Dunn encountered a couple in the crowd, who began hurling the most vile racial slurs at him, a black officer."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Speaker 6,He was called the N word more than a dozen times.
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Harry Dunn,"He say, “Hey, this (beep) voted for Joe Biden guys. Hey, everybody, this (beep) voted for Joe Biden.” They said, “You (beep).” I was scared. I was absolutely scared. At one point, I said, “How was this going to end?”"
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Speaker 7,"It was just a double door with glass panes that was pushed out, I ended up getting pinned there by the crowd. There’s a guy ripping my mask off and he was able to rip away my baton and beat me with it. And he was practically foaming at the mouth."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Harry Dunn,"We got dozens of officers down and you got the nerve to be holding the blue lives matter flag. Because one of the guys kept walking by, the other one pulled out his badge and said, “Trust me, I understand, we’re doing this for you buddy.” And he’s got a badge. He showed me his badge."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Speaker 5,"Five people lost their lives that day, including Capitol police officer, Brian Sicknick."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Harry Dunn,"They beat police officers. They fought us. They had Confederate flags in the US Capitol. I got called a (beep) a couple dozen times today. It wasn’t just a mob or a bunch of thugs, they were terrorists. They tried to disrupt this country’s democracy. That was their goal. Is this America? Is this America? What the hell just happened?"
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Mr. Durbin,"The hate on display that terrible day, is not a new phenomenon in our country. America’s first domestic terror organization, the Ku Klux Klan, was born in the aftermath of the civil war to terrorize formerly enslaved African-Americans. As Judge Merrick Garland noted at his nomination hearing, the Department of Justice was founded during reconstruction, to quote, “secure the civil rights promised by the 13th, 14th, and 15th amendments.” He went on to note that the first Attorney General appointed by president Grant, led quote, “a concerted battle to protect black voting rights from the violence of white supremacists, successfully prosecuting hundreds of cases against members of the Ku Klux Klan.” The insurrectionists who stormed the Capitol on January 6th, did not wear white robes and hoods. They might as well have. They are the latest incarnation of violent white supremacist movements that has terrorized fellow Americans on the basis of their race, religion, and national origin, for more than 150 years."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Mr. Durbin,"Let me be clear at the outset. I’ve said this on many occasions and it bears repeating. I condemn all violence, regardless of ideology. I hope my Republican colleagues will join me today in acknowledging as the Department of Homeland Security found last October, that violent white supremacy is quote “the most persistent and lethal threat in the Homeland.” I hope they’ll also join me in unequivocally, unequivocally condemning the big lie that the November 3rd election was stolen, a falsehood which the former president continues to spread, which helped provoke the January 6th insurrection and threatens to incite future attacks. As the January 6th attack on the Capitol demonstrated, for too long our federal government has failed to address the growing terrorist menace in our own backyard. I have been sounding this alarm for some time. In 2012, I held a hearing in this committee on hate crimes and domestic extremism, following the horrific massacre of six worshipers at Sihk Gurdwara in Oak Creek, Wisconsin, perpetrated by white supremacists. In early 2017, I introduced the domestic terrorism prevention act with Congressman Brad Schneider, a bill that would enhance the federal government’s efforts to prevent domestic terrorism."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Mr. Durbin,"During the Trump administration, I led multiple letters to Attorney General Barr, and to you, asking the steps that were taken by the Department of Justice and the FBI to combat the growing threat of white supremacist violence. I asked why the Bureau made the inexplicable decision to stop tracking white supremacists incidents as a separate category of domestic terrorism, and still are waiting the response. Meanwhile, the threat posed by domestic terrorists, in particular white supremacists and other far right extremists, has only continued to grow."
"FBI Director Christopher Wray Testifies on Capitol Attack, Domestic Terrorism Full Hearing Transcript March 2",Mr. Durbin,"The 2015 mass shooting at Mother Emanuel AME Church in Charleston, South Carolina, where a white supremacist killed nine members of the church. The 2018 mass shooting at The Tree of Life Synagogue in Pittsburgh, Pennsylvania, where white supremacists killed 11 members of that Jewish congregation. The 2019 mass shooting at the Walmart in El Paso, Texas, where a white supremacist targeted Latinos, killing 23 people and many, many more. Far too many Americans, particularly people of color and religious minorities, worry whether their community will be next to be devastated by tragedy. Despite the scope of the violent white supremacist threat, former president Trump and his administration, unfortunately downplayed the threat posed by white supremacists."
